Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
608000.0,01 Aralık 2025,Ford,C-Max,1.6 TDCi Ghia,2005.0,160.000 km,Düz,Dizel,MPV,Gri,1560 cc,110 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden
2000000.0,10 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2019.0,128.000 km,Yarı Otomatik,Benzin,Sedan,Kırmızı,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,4 lt",66 lt,Belirtilmemiş,,Sahibinden
1015000.0,07 Aralık 2025,Opel,Insignia,1.6 CDTI Design,2017.0,192.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,5 lt,70 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1195000.0,10 Aralık 2025,Volkswagen,New Beetle,1.2 TSi Design,2015.0,125.000 km,Yarı Otomatik,Benzin,Hatchback/3,Beyaz,1197 cc,105 hp,Önden Çekiş,İkinci El,"5,9 lt",55 lt,Tamamı orjinal,,Sahibinden
1230000.0,09 Aralık 2025,Toyota,Corolla,1.8 Hybrid Dream,2019.0,139.500 km,Otomatik,Hibrit,Sedan,Mavi (metalik),1798 cc,98 hp,Önden Çekiş,İkinci El,"3,5 lt",43 lt,"1 değişen, 2 boyalı",,Sahibinden
155000.0,10 Aralık 2025,Fiat,Uno,70 S,1994.0,315.000 km,Düz,LPG & Benzin,Hatchback/3,Beyaz,1372 cc,71 hp,Önden Çekiş,İkinci El,,,Belirtilmemiş,,Sahibinden
1500000.0,01 Aralık 2025,Seat,Ibiza,1.5 EcoTSI FR,2022.0,49.500 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1498 cc,150 hp,Önden Çekiş,İkinci El,5 lt,40 lt,Tamamı orjinal,Takasa Uygun,Galeriden
385000.0,08 Aralık 2025,Ford,Fiesta,1.4 Comfort,2006.0,204.158 km,Düz,LPG & Benzin,Hatchback/5,Gri,1388 cc,80 hp,Önden Çekiş,İkinci El,"6,2 lt",45 lt,"2 değişen, 10 boyalı",Takasa Uygun Değil,Galeriden
460000.0,09 Aralık 2025,Fiat,Albea,Sole 1.3 Multijet Dynamic,2009.0,148.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,7 lt",48 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
795000.0,03 Aralık 2025,Opel,Corsa,1.4 Twinport Active,2013.0,111.000 km,Otomatik,Benzin,Hatchback/5,Kahverengi,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden
1329750.0,02 Aralık 2025,Opel,Corsa,1.2 Turbo Elegance,2023.0,26.000 km,Otomatik,Benzin,Hatchback/5,Gri,1199 cc,100 hp,Önden Çekiş,İkinci El,"4,3 lt",44 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
640000.0,10 Aralık 2025,Opel,Vectra,1.6 Elegance,2006.0,194.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,100 hp,Önden Çekiş,İkinci El,"7,3 lt",61 lt,2 boyalı,Takasa Uygun,Sahibinden
1075000.0,09 Aralık 2025,Citroen,C3,1.2 PureTech Feel Bold,2023.0,21.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1199 cc,83 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,Tamamı orjinal,,Sahibinden
859750.0,06 Aralık 2025,Renault,Clio,1.5 dCi SportTourer Icon,2018.0,211.000 km,Yarı Otomatik,Dizel,Station wagon,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,7 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden
315000.0,10 Aralık 2025,Renault,Symbol,1.2 Authentique,2012.0,385.400 km,Düz,LPG & Benzin,Sedan,Bej,1149 cc,75 hp,Önden Çekiş,İkinci El,"5,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden
1475000.0,09 Aralık 2025,Ford,Focus,1.5 Ti-VCT Trend X,2023.0,85.000 km,Otomatik,Benzin,Sedan,Beyaz,1497 cc,123 hp,Önden Çekiş,İkinci El,7 lt,52 lt,Tamamı orjinal,,Sahibinden
799999.0,10 Aralık 2025,Fiat,Egea,1.4 Fire Urban,2021.0,110.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,1 boyalı,,Sahibinden
