Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
1.330.000 TL,09 Aralık 2025,Audi,A4,A4 Sedan 2.0 TDI,2013.0,210.000 km,Otomatik,Dizel,Sedan,Beyaz,1968 cc,177 hp,Önden Çekiş,İkinci El,"4,8 lt",63 lt,Belirtilmemiş,,Sahibinden
350.000 TL,10 Aralık 2025,Hyundai,Getz,1.5 CRDi VGT,2008.0,273.000 km,Düz,Dizel,Hatchback/5,Siyah,1493 cc,88 hp,Önden Çekiş,İkinci El,"4,5 lt",45 lt,"1 değişen, 7 boyalı",,Sahibinden
1.175.000 TL,09 Aralık 2025,Renault,Megane,1.5 dCi Touch,2017.0,151.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,Tamamı orjinal,-,Sahibinden
347.500 TL,10 Aralık 2025,Opel,Astra,1.3 CDTI Essentia,2009.0,290.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,90 hp,Önden Çekiş,İkinci El,"5,1 lt",52 lt,9 boyalı,,Sahibinden
645.000 TL,05 Aralık 2025,Renault,Clio,1.5 dCi Joy,2014.0,211.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden
280.000 TL,10 Aralık 2025,Fiat,Siena,1.4 EL,1999.0,222.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1372 cc,71 hp,Önden Çekiş,İkinci El,,51 lt,1 değişen,,Sahibinden
1.660.000 TL,09 Aralık 2025,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015.0,159.600 km,Yarı Otomatik,Benzin,Sedan,Gri (Gümüş),1395 cc,125 hp,Önden Çekiş,İkinci El,5 lt,66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
1.315.000 TL,10 Aralık 2025,BMW,1 Serisi,118i Joy,2015.0,160.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1499 cc,136 hp,Arkadan İtiş,İkinci El,"5,4 lt",52 lt,Tamamı orjinal,,Sahibinden
335.000 TL,10 Aralık 2025,Renault,Symbol,1.4 Authentique,2008.0,179.000 km,Düz,LPG & Benzin,Sedan,Gri,1390 cc,75 hp,Önden Çekiş,İkinci El,"7,1 lt",50 lt,12 boyalı,,Sahibinden
919.900 TL,03 Aralık 2025,Volkswagen,Polo,1.4 TDi Comfortline,2014.0,155.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1422 cc,90 hp,Önden Çekiş,İkinci El,"3,5 lt",45 lt,1 değişen,Takasa Uygun,Galeriden
